cfips,p,q,d,testset_smaller_smape
21107,1,3,2,0.6646405109338682
21115,1,3,3,1.045738039828557
21125,2,1,1,0.2393939028032878
21127,3,3,2,1.692364285580087
21137,2,1,1,6.115067802354531
21139,1,1,3,2.3808930936108084
21141,3,1,3,0.5437039923135872
21143,2,2,1,3.465368794619088
21149,3,2,3,0.7853845569904266
21151,2,1,3,0.8474734752061234
21161,3,3,1,0.8286443447886862
21179,2,3,1,0.730169096970696
21187,3,1,1,0.5548679930469824
21203,1,2,3,0.610161755644882
21207,2,1,1,1.1903469062606566
21217,3,2,2,1.0156000364499584
21225,1,3,2,1.0864501854389024
21229,3,3,2,0.9733104245779756
21235,1,3,1,2.993252032890268
21237,1,3,2,1.602457031578159
22001,1,1,3,0.6791613477146707
22017,2,1,2,1.8714394679387631
22033,2,3,3,0.1673817172628265
22041,2,1,1,3.628874299226851
22043,1,1,3,0.6016413598427096
22047,3,1,3,1.6231390699516044
22049,1,3,3,1.4169709628002731
22053,1,3,1,0.282379293963564
22057,2,2,1,0.1294502654694898
22073,2,3,1,0.4068807419714478
22081,2,2,1,1.030372424880509
22085,2,1,2,1.4909137780102155
22089,3,2,3,0.8021370921925687
22095,2,2,1,0.930542416283314
22099,1,3,3,1.8125599473426328
22117,1,2,1,0.8688223824101584
22127,2,3,1,0.6880741318631958
23001,2,1,1,0.4560050973125243
23003,3,1,3,2.035946944170374
23009,3,1,1,0.4038007677101791
23013,1,3,3,1.073093831732712
23015,2,1,1,4.234689297248909
23019,3,3,1,0.382336108428874
23023,3,1,1,0.5911243896872276
23031,2,2,3,0.1787395848385916
24013,1,1,1,0.2395989806642488
24015,2,1,1,0.6291815553483145
24017,2,3,3,0.6596900329177022
24025,3,3,2,0.3111520089051244
24035,2,3,2,0.7484187012308559
24047,1,3,3,0.6371770787285801
24510,1,1,1,0.3053906091998309
25009,2,3,3,0.3283268202163944
25019,1,3,2,0.7940089942864853
25025,3,3,1,0.4263141962127863
